SI,Course ID,Course Title,Number_of_Non_Transfers,Non_Transferring_To
UI,CIS111,INTEGRATING TECHNOLOGY IN THE CURRICULUM,2,"['NI', 'RM']"
UI,CIS120,THE INTERNET,2,"['NI', 'RM']"
UI,CIS140,HELP DESK CONCEPTS AND CUSTOMER SERVICE,2,"['NI', 'RM']"
UI,CIS207,PC TROUBLSHOOTING AND REPAIR,2,"['NI', 'RM']"
UI,CIS210,PRINCIPLES OF INFORMATION SECURITY,2,"['NI', 'RM']"
UI,CIS213,WORD I,2,"['NI', 'RI']"
UI,MAT146,BRIEF CALCULUS WITH APPLICATIONS,2,"['NI', 'RI']"
UI,MAT161,CALCULUS AND ANALYTIC GEOMETRY I,2,"['MO', 'RI']"
UI,MAT162,CALCULUS AND ANALYTIC GEOMETRY II,2,"['MO', 'RI']"
UI,MAT280,PROJECTS IN MATHEMATICS,2,"['NI', 'RI']"
UI,CIS100,INTRODUCTION TO COMPUTER APPLICATIONS,1,['NI']
UI,CIS103,WINDOWS OPERATING SYSTEMS,1,['NI']
UI,CIS106,JAVA PROGRAMMING,1,['NI']
UI,CIS108,INTRO TO MEDICAL INFORMATICS,1,['RI']
UI,CIS110,COMPUTER LITERACY,1,['NI']
UI,CIS112,MOBILE COMPUTING,1,['RI']
UI,CIS113,WORD I,1,['NI']
UI,CIS115,EXCEL I,1,['NI']
UI,CIS116,ACCESS,1,['NI']
UI,CIS117,POWERPOINT,1,['NI']
UI,CIS121,HTML,1,['NI']
UI,CIS122,WEB PAGE DEVELOPMENT,1,['NI']
UI,CIS124,WEB AND MULTIMEDIA,1,['NI']
UI,CIS126,E-COMMERCE FUNDAMENTALS,1,['NI']
UI,CIS130,INTRODUCTORY VISUAL BASIC,1,['NI']
UI,CIS132,INTERMEDIATE VISUAL BASIC,1,['NI']
UI,CIS201,APPLICATIONS DEVELOPMENT II,1,['NI']
UI,CIS204,DATA BASE MAMAGEMENT,1,['NI']
UI,CIS205,DATA COMMUNICATIONS AND NETWORKS,1,['NI']
UI,CIS211,APPLIED SOFTWARE DEVELOPMENT PROJECT,1,['NI']
UI,MAT113,MATH APPLICATIONS,1,['NI']
UI,MAT117,AN INTRODUCTION TO MATHEMATICAL IDEAS,1,['NI']
UI,MAT125,SURVEY OF SPECIAL TOPICS IN MATHEMATICS,1,['NI']
UI,MAT126,MATHEMATICS FOR MANAGEMENT AND SOCIAL SCIENCES,1,['NI']
UI,MAT128,BASIC PROGRAMMING AND APPLICATIONS,1,['NI']
UI,MAT130,WOMEN IN MATHEMATICS AND SCIENCE,1,['NI']
UI,MAT144,ELEMENTARY MATHEMATICAL ANALYSIS II,1,['NI']
UI,MAT148,INTRODUCTION TO GRAPHICS CALCULATORS/DERIVE,1,['NI']
UI,MAT230,WOMEN IN MATHEMATICS AND SCIENCE,1,['NI']
UI,MAT246,BUSINESS STATISTICAL ANALYSIS,1,['NI']
UI,MAT248,PROBABILITY AND STATISTICS,1,['MO']
UI,MAT266,SURVEY OF MODERN MATHEMATICS,1,['NI']
WA,MAT025,MATH REVIEW (HRD),10,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
WA,MAT032,MATHEMATICS/INDUSTRY,10,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
WA,MAT050,BASIC MATH,10,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
WA,MAT061,HIGH SCHOOL TRIGONOMETRY,10,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
WA,MAT051,INTRODUCTORY ALGEBRA,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
WA,MAT052,INTERMEDIATE ALGEBRA,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
WA,MAT101,ELEMENTARY ALGEBRA I,9,"['FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
WA,MAT102,ELEMENTARY ALGEBRA II,9,"['FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
WA,MAT156,COLLEGE ALGEBRA I,9,"['FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
WA,MAT157,COLLEGE ALGEBRA II,9,"['FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
WA,MAT054,BASIC ALGEBRA,8,"['CE', 'FD', 'FM', 'KE', 'NI', 'NU', 'RI', 'RO']"
WA,MAT053,INTRODUCTORY AND INTERMEDIATE ALGEBRA,7,"['FD', 'FM', 'MO', 'NI', 'NU', 'RI', 'RO']"
WA,MAT158,ALGEBRA AND TRIGONOMETRY I,5,"['KE', 'MO', 'NI', 'NU', 'RI']"
WA,MAT159,ALGEBRA AND TRIGONOMETRY II,5,"['KE', 'MO', 'NI', 'NU', 'RI']"
WA,MAT129,MATH ANALYSIS FOR BUSINESS AND ECONOMICS,4,"['MO', 'NI', 'NU', 'RI']"
WA,MAT160,PRE-CALCULUS,4,"['MO', 'NI', 'NU', 'RI']"
WA,MAT204,DIFFERENTIAL EQUATIONS,4,"['KE', 'MO', 'NU', 'RI']"
WA,MAT219,STATISTICS,4,"['MO', 'NI', 'NU', 'RI']"
WA,MAT262,CALCULUS II,3,"['MO', 'NU', 'RI']"
WA,MAT104,TECHNICAL MATH,2,"['KE', 'NI']"
WA,MAT111,MATH ANALYSIS FOR BUSINESS AND ECONOMICS,2,"['NI', 'RI']"
WA,MAT110,TOPICS OF MATHEMATICS,1,['NI']
WA,MAT131,COLLEGE ALGEBRA,1,['NI']
WA,MAT141,PRE-CALCULUS,1,['NI']
