SI,Course_ID,Course_Title,01_960_463_01,01_960_486_01,CALCULUS_1,CALCULUS_1_152,CS461_SPRING2023,CS462__INTRODUCTION_TO_DEEP_LEARNING,DATA_STRUCTURES,DMDS_DESCRIPTION,INTERMEDIATE_STAT_ANALYSIS_384:484,INTRODUCTION_TO_COMPUTER_SCIENCE,LINEAR_ALGEBRA,RUTGERS_NB_DATA_101_COURSE_DETAILS_AUG_16_2022,STATISTICS_II,STATISTICS_REPORT_01,STAT_METHODS_IN_BUS,SYLLABUS_-_DATA_IN_CONTEXT_-_FALL_2024_-_10516,SYLLABUS_FOR_2021SP_-_DISCRT_II_01_198_206
BE,MAT091,PRE-CALCULUS SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT092,CALCULUS I SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT093,CALCULUS II SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT116,TECHNICAL MATHEMATICS I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT130,CONTEMPORARY MATHEMATICS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT150,STATISTICS I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT155,FINITE MATHEMATICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT158,INTRODUCTION TO COMPUTER SCIENCE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT160,INTERMEDIATE ALGEBRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT163,COMPUTER PROGRAMMING: Q BASIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT165,C++ PROGRAMMING I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT180,PRE-CALCULUS: COLLEGE ALGEBRA AND TRIGONOMETRY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT222,TECHNICAL MATHEMATICS II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT223,CALCULUS FOR MANAGEMENT AND SOCIAL SCIENCES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT250,STATISTICS II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT265,C++ PROGRAMMING II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT266,COMPUTER PROGRAMMING: VISUAL BASIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT268,STATISTICAL METHODS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT271,COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT272,FORTRAN PROGRAMMING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT274,COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT275,COBOL FOR COMPUTER SCIENCE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT277,DATA STRUCTURES AND ALGORITHMS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT278,DATABASE SYSTEMS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT280,CALCULUS I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT281,CALCULUS II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT282,CALCULUS III,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT283,DIFFERENTIAL EQUATIONS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
