"INST.ID","COURSE ID","COURSE TITLE","EFFECTIVE SINCE","FILE TYPE","LINK TO SYLLABUS"
"PA","AC101","FINANCIAL ACCOUNTING I","2001/09","PDF","https://njtransfer.org/artweb/artup/PA.AC101.200109.syl.pdf"
"PA","AC102","FINANCIAL ACCOUNTING II","2001/09","PDF","https://njtransfer.org/artweb/artup/PA.AC102.200109.syl.pdf"
"PA","AC203","ACCOUNTING APPLICATIONS USING EXCEL","2018/09","MS Word","https://njtransfer.org/artweb/artup/PA.AC203.201809.syl.docx"
"PA","AC205","MANAGERIAL ACCOUNTING","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/PA.AC205.200109.syl.txt"
"PA","AC220","ACCOUNTING SOFTWARE APPLICATIONS I","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/PA.AC220.200109.syl.txt"
"PA","AC221","ACCOUNTING SOFTWARE APPLICATIONS","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/PA.AC221.200109.syl.txt"
"PA","AC222","ACCOUNTING SOFTWARE APPLICATIONS II","2009/09","MS Word","https://njtransfer.org/artweb/artup/PA.AC222.200909.syl.doc"
"PA","AC223","INCOME TAX PREPARATION","2009/02","PDF","https://njtransfer.org/artweb/artup/PA.AC223.200902.syl.pdf"
"PA","AC225","FEDERAL TAXATION - THEORY AND PRACTICE","2019/09","PDF","https://njtransfer.org/artweb/artup/PA.AC225.201909.syl.pdf"
"PA","AC226","ACCOUNTING SOFTWARE APPLICATIONS I","2018/09","MS Word","https://njtransfer.org/artweb/artup/PA.AC226.201809.syl.docx"
"PA","AC251","ACCOUNTING INTERNSHIP","2014/09","PDF","https://njtransfer.org/artweb/artup/PA.AC251.201409.syl.pdf"
"PA","AC295","ACCOUNTING CAPSTONE","2010/02","MS Word","https://njtransfer.org/artweb/artup/PA.AC295.201002.syl.docx"
"PA","AE101","APPRECIATION OF ART","2001/09","PDF","https://njtransfer.org/artweb/artup/PA.AE101.200109.syl.pdf"
"PA","AE103","ART HISTORY I","2014/09","PDF","https://njtransfer.org/artweb/artup/PA.AE103.201409.syl.pdf"
"PA","AE104","ART HISTORY II","2014/09","PDF","https://njtransfer.org/artweb/artup/PA.AE104.201409.syl.pdf"
"PA","AH101","INTRODUCTION TO ALLIED HEALTH","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/PA.AH101.200109.syl.txt"
"PA","AH201","HEALTH CARE SEMINAR","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/PA.AH201.200109.syl.txt"
"PA","AR101","DRAWING I","2001/09","PDF","https://njtransfer.org/artweb/artup/PA.AR101.200109.syl.pdf"
"PA","AR102","DRAWING II","2001/09","PDF","https://njtransfer.org/artweb/artup/PA.AR102.200109.syl.pdf"
"PA","AR108","TWO DIMENSIONAL DESIGN","2014/09","MS Word","https://njtransfer.org/artweb/artup/PA.AR108.201409.syl.docx"
"PA","AR109","THREE-DIMENSIONAL DESIGN","2019/09","MS Word","https://njtransfer.org/artweb/artup/PA.AR109.201909.syl.docx"
"PA","AR110","INTRODUCTION TO GRAPHIC DESIGN","2007/09","PDF","https://njtransfer.org/artweb/artup/PA.AR110.200709.syl.pdf"
"PA","AR112","COLOR THEORY","2014/09","PDF","https://njtransfer.org/artweb/artup/PA.AR112.201409.syl.pdf"
"PA","AR113","PORTFOLIO PREPARATION","2019/09","PDF","https://njtransfer.org/artweb/artup/PA.AR113.201909.syl.pdf"
"PA","AR120","INTRODUCTION TO PAINTING","2019/09","MS Word","https://njtransfer.org/artweb/artup/PA.AR120.201909.syl.docx"
"PA","AR121","INTRODUCTION TO PRINTMAKING","2019/09","PDF","https://njtransfer.org/artweb/artup/PA.AR121.201909.syl.pdf"
"PA","AR200","WATERCOLOR","2019/09","PDF","https://njtransfer.org/artweb/artup/PA.AR200.201909.syl.pdf"
"PA","AR209","FIGURE DRAWING","2014/09","MS Word","https://njtransfer.org/artweb/artup/PA.AR209.201409.syl.docx"
"PA","AR210","LAYOUT AND PUBLICATION DESIGN","2008/02","PDF","https://njtransfer.org/artweb/artup/PA.AR210.200802.syl.pdf"
