"INST.ID","COURSE ID","COURSE TITLE","EFFECTIVE SINCE","FILE TYPE","LINK TO SYLLABUS"
"CU","AC101","ACCOUNTING CONCEPTS","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AC101.200109.syl.txt"
"CU","AC207","ACCOUNTING INFORMATION SYSTEMS","2021/09","PDF","https://njtransfer.org/artweb/artup/CU.AC207.202109.syl.pdf"
"CU","AG105","INTRODUCTION TO AGRICULTURAL SCIENCE","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AG105.200109.syl.txt"
"CU","AG106","PLANT SCIENCE","2017/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AG106.201709.syl.txt"
"CU","AG107","PLANT PROPAGATION","2017/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AG107.201709.syl.txt"
"CU","AG108","HERBACEOUS PLANTS","2017/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AG108.201709.syl.txt"
"CU","AG114","AGRICULTURE INTERNSHIP","2017/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AG114.201709.syl.txt"
"CU","AG209","INTRODUCTION TO SOIL SCIENCE","2017/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AG209.201709.syl.txt"
"CU","AN101","INTRO TO ANTHROPOLOGY","2013/02","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AN101.201302.syl.txt"
"CU","AN103","CULTURAL DIVERSITY IN THE U.S.","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AN103.200109.syl.txt"
"CU","AR103","HISTORY OF THE ARTS II","2017/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AR103.201709.syl.txt"
"CU","AR104","INTRODUCTION TO ART THERAPY IN PRACTICE","2015/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AR104.201509.syl.txt"
"CU","AR107","ART HISTORY I","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AR107.200109.syl.txt"
"CU","AR108","ART HISTORY II","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AR108.200109.syl.txt"
"CU","AR113","FUNDAMENTALS OF DRAWING II","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AR113.200109.syl.txt"
"CU","AR120","PRINTMAKING I","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AR120.200109.syl.txt"
"CU","AR130","BOOK ARTS I","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AR130.200109.syl.txt"
"CU","AR131","INTRODUCTION TO DIGITAL PHOTOGRAPHY","2021/09","PDF","https://njtransfer.org/artweb/artup/CU.AR131.202109.syl.pdf"
"CU","AR140","SCULPTURE I","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AR140.200109.syl.txt"
"CU","AR145","SCULPTURE II","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AR145.200109.syl.txt"
"CU","AR160","VISUAL ARTS STUDIO","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AR160.200109.syl.txt"
"CU","AR205","3-DIMENSIONAL DESIGN","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AR205.200109.syl.txt"
"CU","AR231","INTERMEDIATE DIGITIAL PHOTOGRAPHY","2021/09","PDF","https://njtransfer.org/artweb/artup/CU.AR231.202109.syl.pdf"
"CU","AS101","INTRODUCTION TO AMERICAN STUDIES","2010/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.AS101.201009.syl.txt"
"CU","BI101","GENERAL BIOLOGY I","2001/09","PDF","https://njtransfer.org/artweb/artup/CU.BI101.200109.syl.pdf"
"CU","BI102","GENERAL BIOLOGY II","2001/09","PDF","https://njtransfer.org/artweb/artup/CU.BI102.200109.syl.pdf"
"CU","BI104","HUMAN BIOLOGY","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BI104.200109.syl.txt"
"CU","BI105","HUMAN BIOLOGY LAB","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BI105.200109.syl.txt"
"CU","BI108","HUMAN BIOLOGY","2019/02","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BI108.201902.syl.txt"
"CU","BI117","INTRODUCTION TO BIOLOGY","2019/02","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BI117.201902.syl.txt"
"CU","BI118","INTRODUCTION TO BIOLOGY LABORATORY","2017/02","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BI118.201702.syl.txt"
"CU","BI119","PRINCIPLES OF SCIENCE II","2017/02","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BI119.201702.syl.txt"
"CU","BI122","ENVIRONMENTAL SCIENCE","2008/09","PDF","https://njtransfer.org/artweb/artup/CU.BI122.200809.syl.pdf"
"CU","BI208","INTRODUCTION TO INFECTIOUS DISEASES","2010/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BI208.201009.syl.txt"
"CU","BI209","BIOLOGICAL SKILLS AND METHODS","2019/02","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BI209.201902.syl.txt"
"CU","BI215","ECOLOGY","2015/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BI215.201509.syl.txt"
"CU","BI216","BIOMECHANICS","2013/02","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BI216.201302.syl.txt"
"CU","BT101","STATE + FED ALCOHOL COMPLIANCE/SAFE HAND","2019/02","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BT101.201902.syl.txt"
"CU","BT102","SURVEY OF ALCOHOLIC BEVERAGES","2020/09","MS Word","https://njtransfer.org/artweb/artup/CU.BT102.202009.syl.docx"
"CU","BT103","WINES OF THE WORLD","2019/02","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BT103.201902.syl.txt"
"CU","BT104","BEERS OF THE WORLD","2019/02","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BT104.201902.syl.txt"
"CU","BT201","BREWERIES, DISTILLERIES AND WINERIES OF NEW JERSEY","2019/02","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BT201.201902.syl.txt"
"CU","BT202","PRINCIPLES OF TASTING ROOM MANAGEMENT","2019/02","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BT202.201902.syl.txt"
"CU","BT210","TASTING ROOM MANAGEMENT INTERNSHIP","2019/02","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BT210.201902.syl.txt"
"CU","BU113","INTRODUCTION TO INSURANCE","2013/02","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BU113.201302.syl.txt"
"CU","BU119","PERSONAL FINANCE","2010/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BU119.201009.syl.txt"
"CU","BU120","INTRODUCTION TO HOSPITALITY","2011/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BU120.201109.syl.txt"
"CU","BU121","INTRODUCTION TO BUSINESS ETHICS","2011/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BU121.201109.syl.txt"
"CU","BU122","INTRODUCTION TO ENTREPRENEURSHIP","2017/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BU122.201709.syl.txt"
"CU","BU123","PERSONAL + PROFESSIONAL BRANDING","2021/09","PDF","https://njtransfer.org/artweb/artup/CU.BU123.202109.syl.pdf"
"CU","BU200","SUPPLY CHAIN MANAGEMENT","2011/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BU200.201109.syl.txt"
"CU","BU216","SOCIAL MEDIA MARKETING AND WEB ANALYTICS","2021/09","PDF","https://njtransfer.org/artweb/artup/CU.BU216.202109.syl.pdf"
"CU","BU225","PUBLIC RELATIONS","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BU225.200109.syl.txt"
"CU","BU236","BUSINESS AND SOCIETY","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BU236.200109.syl.txt"
"CU","BU239","ORGANIZATIONAL DEVELOPMENT","2021/09","PDF","https://njtransfer.org/artweb/artup/CU.BU239.202109.syl.pdf"
"CU","BU247","LEADERSHIP","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BU247.200109.syl.txt"
"CU","BU263","ENTREPRENEURIAL BUSINESS","2018/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BU263.201809.syl.txt"
"CU","BU299","BUSINESS LEADERSHIP SEMINAR","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.BU299.200109.syl.txt"
"CU","CA101","INTRODUCTION TO CHILD ADVOCACY","2017/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.CA101.201709.syl.txt"
"CU","CA102","THE ECOLOGICAL SYSTEMS AND THE DEVELOPING CHILD","2018/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.CA102.201809.syl.txt"
"CU","CA103","CULTURAL COMPETENCIES IN CHILD WELFARE","2018/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.CA103.201809.syl.txt"
"CU","CA104","CHILDREN AND JUSTICE","2018/09","Text/ASCII","https://njtransfer.org/artweb/artup/CU.CA104.201809.syl.txt"
