"INST.ID","COURSE ID","COURSE TITLE","EFFECTIVE SINCE","FILE TYPE","LINK TO SYLLABUS"
"GL","ALH105","BASIC PHYSICAL EXAM","2012/06","MS Word","https://njtransfer.org/artweb/artup/GL.ALH105.201206.syl.doc"
"GL","ALH107","CROSS SECTIONAL ANATOMY","2019/06","PDF","https://njtransfer.org/artweb/artup/GL.ALH107.201906.syl.pdf"
"GL","ALH112","FUNDAMENTALS OF HUMAN ANATOMY","2015/02","MS Word","https://njtransfer.org/artweb/artup/GL.ALH112.201502.syl.docx"
"GL","ALH115","ECG/EKG","2015/02","PDF","https://njtransfer.org/artweb/artup/GL.ALH115.201502.syl.pdf"
"GL","ALH119","PHLEBOTOMY","2015/02","MS Word","https://njtransfer.org/artweb/artup/GL.ALH119.201502.syl.docx"
"GL","ALH123","MEDICAL ASSISTANT PROCEDURES","2015/02","MS Word","https://njtransfer.org/artweb/artup/GL.ALH123.201502.syl.docx"
"GL","ALH125","MEDICAL ASSISTANT PROCEDURES","2016/02","MS Word","https://njtransfer.org/artweb/artup/GL.ALH125.201602.syl.docx"
"GL","ALH130","ELEMENTS OF HEALTHCARE CAREERS","2022/09","PDF","https://njtransfer.org/artweb/artup/GL.ALH130.202209.syl.pdf"
"GL","ALH140","BIOMEDICAL ETHICS","2017/02","PDF","https://njtransfer.org/artweb/artup/GL.ALH140.201702.syl.pdf"
"GL","ART121","HISTORY OF PHOTOGRAPHY","2011/09","MS Word","https://njtransfer.org/artweb/artup/GL.ART121.201109.syl.doc"
"GL","ART141","INTRO TO ADOBE PHOTOSHOP","2011/09","MS Word","https://njtransfer.org/artweb/artup/GL.ART141.201109.syl.doc"
"GL","ART231","INTERMEDIATE DIGITAL PHOTOGRAPHY","2012/02","MS Word","https://njtransfer.org/artweb/artup/GL.ART231.201202.syl.doc"
"GL","AUT135","MANUAL TRANSMISSIONS","2019/01","PDF","https://njtransfer.org/artweb/artup/GL.AUT135.201901.syl.pdf"
"GL","AUT139","AUTOMATIC TRANSMISSIONS SYSTEMS","2020/09","PDF","https://njtransfer.org/artweb/artup/GL.AUT139.202009.syl.pdf"
"GL","BIO101","GENERAL BIOLOGY I","2001/09","PDF","https://njtransfer.org/artweb/artup/GL.BIO101.200109.syl.pdf"
"GL","BIO102","GENERAL BIOLOGY II","2001/09","PDF","https://njtransfer.org/artweb/artup/GL.BIO102.200109.syl.pdf"
"GL","BIO111","CONTEMPORARY CONCEPTS IN BIOLOGY","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/GL.BIO111.200109.syl.txt"
"GL","BIO112","INTRODUCTION TO MARINE BIOLOGY","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/GL.BIO112.200109.syl.txt"
"GL","BIO113","ECONOMIC BOTANY: PLANTS AND SOCIETY","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/GL.BIO113.200109.syl.txt"
"GL","BIO114","ANIMAL SCIENCE","2009/09","MS Word","https://njtransfer.org/artweb/artup/GL.BIO114.200909.syl.doc"
"GL","BIO115","INTRODUCTION TO EQUINE SCIENCE","2018/09","PDF","https://njtransfer.org/artweb/artup/GL.BIO115.201809.syl.pdf"
"GL","BIO116","ANIMAL SCIENCE","2013/09","PDF","https://njtransfer.org/artweb/artup/GL.BIO116.201309.syl.pdf"
"GL","BIO120","INTRO TO EXPERIMENTATION","2015/09","MS Word","https://njtransfer.org/artweb/artup/GL.BIO120.201509.syl.docx"
"GL","BIO140","SCIENCE OF NUTRITION","2011/06","MS Word","https://njtransfer.org/artweb/artup/GL.BIO140.201106.syl.docx"
"GL","BIO209","ECOLOGY: PRINCIPLES AND PROCESSES","2001/09","PDF","https://njtransfer.org/artweb/artup/GL.BIO209.200109.syl.pdf"
"GL","BIO212","WETLANDS FIELD ECOLOGY","2011/09","MS Word","https://njtransfer.org/artweb/artup/GL.BIO212.201109.syl.doc"
"GL","BIO216","EQUINE CAPSTONE PRACTICUM","2018/09","PDF","https://njtransfer.org/artweb/artup/GL.BIO216.201809.syl.pdf"
"GL","BIO221","CELL AND MOLECULAR BIOLOGY","2010/09","MS Word","https://njtransfer.org/artweb/artup/GL.BIO221.201009.syl.doc"
"GL","BUS104","COMPUTERIZED ACCOUNTING","2019/09","PDF","https://njtransfer.org/artweb/artup/GL.BUS104.201909.syl.pdf"
"GL","BUS129","INTRODUCTION TO ENTREPRENEURSHIP","2022/09","PDF","https://njtransfer.org/artweb/artup/GL.BUS129.202209.syl.pdf"
"GL","BUS212","INTRODUCTION TO INTERNATIONAL BUSINESS","2022/09","PDF","https://njtransfer.org/artweb/artup/GL.BUS212.202209.syl.pdf"
"GL","BUS224","SOCIAL MEDIA AND INTERNET MARKETING","2014/09","PDF","https://njtransfer.org/artweb/artup/GL.BUS224.201409.syl.pdf"
"GL","BUS234","SMALL BUSINESS MANAGEMENT","2022/09","PDF","https://njtransfer.org/artweb/artup/GL.BUS234.202209.syl.pdf"
"GL","BUS239","CO-OP EDUCATION WORK EXPERIENCE","2019/01","PDF","https://njtransfer.org/artweb/artup/GL.BUS239.201901.syl.pdf"
"GL","BUS241","CUSTOMER SERVICING","2019/01","PDF","https://njtransfer.org/artweb/artup/GL.BUS241.201901.syl.pdf"
"GL","BUS243","ORGANIZATIONAL DEVELOPMENT","2019/01","PDF","https://njtransfer.org/artweb/artup/GL.BUS243.201901.syl.pdf"
"GL","CEP203","CO-OP EDUCATION WORK EXPERIENCE","2001/09","PDF","https://njtransfer.org/artweb/artup/GL.CEP203.200109.syl.pdf"
"GL","CEP215","LEARNING THROUGH COMMUNITY SERVICE","2010/06","MS Word","https://njtransfer.org/artweb/artup/GL.CEP215.201006.syl.doc"
"GL","CET215","FOUNDATIONS OF PLANNING + ENVIRONMENTAL DESIGN","2021/06","PDF","https://njtransfer.org/artweb/artup/GL.CET215.202106.syl.pdf"
"GL","CET300","ADJUSTMENT COMPUTATIONS","2021/06","PDF","https://njtransfer.org/artweb/artup/GL.CET300.202106.syl.pdf"
"GL","CET304","BOUNDARIES AND ADJACENT","2021/06","PDF","https://njtransfer.org/artweb/artup/GL.CET304.202106.syl.pdf"
"GL","CET308","DIGITAL PRACTICES IN SURVEYING","2021/06","PDF","https://njtransfer.org/artweb/artup/GL.CET308.202106.syl.pdf"
"GL","CET312","BOUNDARY LINE ANALYSIS","2021/06","PDF","https://njtransfer.org/artweb/artup/GL.CET312.202106.syl.pdf"
"GL","CGA103","DESIGN, COLOR AND TYPE","2006/09","Text/ASCII","https://njtransfer.org/artweb/artup/GL.CGA103.200609.syl.txt"
"GL","CGA118","INTRODUCTION TO MULTIMEDIA","2013/09","PDF","https://njtransfer.org/artweb/artup/GL.CGA118.201309.syl.pdf"
"GL","CGA120","INTRO ELECTRONIC PUBLISHING AND TYPOGRAPHY","2001/09","PDF","https://njtransfer.org/artweb/artup/GL.CGA120.200109.syl.pdf"
"GL","CGA130","VIDEO AND AUDIO EDITING","2018/09","PDF","https://njtransfer.org/artweb/artup/GL.CGA130.201809.syl.pdf"
"GL","CGA212","WEB GRAPHICS","2016/09","PDF","https://njtransfer.org/artweb/artup/GL.CGA212.201609.syl.pdf"
"GL","CGA216","ELECTRONIC ILLUSTRATION II","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/GL.CGA216.200109.syl.txt"
"GL","CGA218","INTERACTIVE AUTHORING","2016/09","PDF","https://njtransfer.org/artweb/artup/GL.CGA218.201609.syl.pdf"
"GL","CGA220","ADVANCED ELECTRONIC PUBLISHING","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/GL.CGA220.200109.syl.txt"
"GL","CGA221","ELECTRONIC PREPRESS","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/GL.CGA221.200109.syl.txt"
"GL","CGA250","PORTFOLIO SEMINAR","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/GL.CGA250.200109.syl.txt"
"GL","CGA251","PORTFOLIO SEMINAR - WEB - MULTIMEDIA","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/GL.CGA251.200109.syl.txt"
"GL","CHI101","ELEMENTARY CHINESE: MANDARIN","2012/06","MS Word","https://njtransfer.org/artweb/artup/GL.CHI101.201206.syl.doc"
