"INST.ID","COURSE ID","COURSE TITLE","EFFECTIVE SINCE","FILE TYPE","LINK TO SYLLABUS"
"BR","ARTC252","INTERNET ANIMATION II","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/BR.ARTC252.200109.syl.txt"
"BR","ARTH105","ART APPRECIATION","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTH105.200109.syl.pdf"
"BR","ARTH106","HISTORY OF ART: ANCIENT THROUGH MEDIEVAL","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTH106.200109.syl.pdf"
"BR","ARTH107","HISTORY OF ART: RENAISSANCE THROUGH CONTEMPORARY","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTH107.200109.syl.pdf"
"BR","ARTS109","INTRODUCTION TO ART THERAPY","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS109.200109.syl.pdf"
"BR","ARTS111","DRAWING I","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS111.200109.syl.pdf"
"BR","ARTS112","DRAWING II","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS112.200109.syl.pdf"
"BR","ARTS121","2-D DESIGN","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS121.200109.syl.pdf"
"BR","ARTS122","COLOR THEORY","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS122.200109.syl.pdf"
"BR","ARTS123","3-D DESIGN","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS123.200109.syl.pdf"
"BR","ARTS151","CERAMICS I","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS151.200109.syl.pdf"
"BR","ARTS152","CERAMICS II","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS152.200109.syl.pdf"
"BR","ARTS156","SCULPTURE I","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS156.200109.syl.pdf"
"BR","ARTS161","JEWELRY I","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS161.200109.syl.pdf"
"BR","ARTS162","JEWELRY II","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS162.200109.syl.pdf"
"BR","ARTS213","FIGURE DRAWING","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS213.200109.syl.pdf"
"BR","ARTS214","FIGURE DRAWING II","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/BR.ARTS214.200109.syl.txt"
"BR","ARTS231","PAINTING I","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS231.200109.syl.pdf"
"BR","ARTS232","PAINTING II","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS232.200109.syl.pdf"
"BR","ARTS233","ACRYLIC PAINTING","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS233.200109.syl.pdf"
"BR","ARTS235","WATERCOLOR","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARTS235.200109.syl.pdf"
"BR","AUTO100","BASIC AUTOMOTIVE MAINTENANCE","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.AUTO100.200109.syl.pdf"
"BR","AUTO101","AUTOMOTIVE FUNDAMENTALS","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.AUTO101.200109.syl.pdf"
"BR","AUTO111","AUTOMOTIVE DRIVELINES AND TRANSMISSIONS","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.AUTO111.200109.syl.pdf"
"BR","AUTO123","ENGINE PERFORMANCE I","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.AUTO123.200109.syl.pdf"
"BR","AUTO131","AUTOMOTIVE STEERING, SUSPENSION AND ALIGNMENT","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.AUTO131.200109.syl.pdf"
"BR","AUTO132","AUTOMOTIVE BRAKE SYSTEMS","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.AUTO132.200109.syl.pdf"
"BR","AUTO141","AUTOMOTIVE ELECTRICITY - ELECTRONICS I","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.AUTO141.200109.syl.pdf"
"BR","AUTO171","AUTO SYSTEMS FOR PARTS/SERVICE","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/BR.AUTO171.200109.syl.txt"
"BR","AUTO172","PARTS AND SERVICE INDUSTRY PRACTICES","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/BR.AUTO172.200109.syl.txt"
"BR","AUTO213","AUTOMATIC AND MANUAL TRANSMISSION OVERHAUL","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.AUTO213.200109.syl.pdf"
"BR","AUTO222","ENGINE PERFORMANCE II","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.AUTO222.200109.syl.pdf"
"BR","AUTO226","AUTOMOTIVE ENGINES I","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.AUTO226.200109.syl.pdf"
"BR","AUTO241","AUTOMOTIVE ELECTRICITY - ELECTRONICS II","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.AUTO241.200109.syl.pdf"
"BR","AUTO243","AUTOMOTIVE HEATING AND AIR CONDITIONING","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.AUTO243.200109.syl.pdf"
"BR","AUTO244","AUTO ELECTRICITY/ELECTRONICS II/AIR CONDITIONING","2013/06","MS Word","https://njtransfer.org/artweb/artup/BR.AUTO244.201306.syl.doc"
"BR","AUTO298","AUTOMOTIVE CAPSTONE SEMINAR","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/BR.AUTO298.200109.syl.txt"
"BR","BIOL101","GENERAL BIOLOGY I","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.BIOL101.200109.syl.pdf"
"BR","BIOL102","GENERAL BIOLOGY II","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.BIOL102.200109.syl.pdf"
"BR","BIOL105","LIFE SCIENCES","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.BIOL105.200109.syl.pdf"
"BR","BIOL108","HUMAN BIOLOGY","2013/06","MS Word","https://njtransfer.org/artweb/artup/BR.BIOL108.201306.syl.doc"
"BR","BIOL111","ANATOMY AND PHYSIOLOGY I","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.BIOL111.200109.syl.pdf"
"BR","BIOL112","ANATOMY AND PHYSIOLOGY II","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.BIOL112.200109.syl.pdf"
"BR","BIOL125","INTRODUCTION TO PLANTS","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.BIOL125.200109.syl.pdf"
"BR","BIOL126","EXPLORING BIOLOGY: CYCLES OF LIFE","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.BIOL126.200109.syl.pdf"
"BR","BIOL205","INVERTEBRATE ZOOLOGY","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.BIOL205.200109.syl.pdf"
"BR","BIOL206","VERTEBRATE ZOOLOGY","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.BIOL206.200109.syl.pdf"
