"INST.ID","COURSE ID","COURSE TITLE","EFFECTIVE SINCE","FILE TYPE","LINK TO SYLLABUS"
"RV","ACCT101","FINANCIAL ACCOUNTING","2001/09","MS Word","https://njtransfer.org/artweb/artup/RV.ACCT101.200109.syl.docx"
"RV","ACCT104","MANAGERIAL ACCOUNTING","2001/09","MS Word","https://njtransfer.org/artweb/artup/RV.ACCT104.200109.syl.docx"
"RV","ACCT105","TAXES FOR SMALL BUSINESS","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/RV.ACCT105.200109.syl.txt"
"RV","ACCT203","INTERMEDIATE ACCOUNTING I","2019/09","MS Word","https://njtransfer.org/artweb/artup/RV.ACCT203.201909.syl.docx"
"RV","ACCT204","INTERMEDIATE ACCOUNTING II","2019/09","PDF","https://njtransfer.org/artweb/artup/RV.ACCT204.201909.syl.pdf"
"RV","ACCT211","COST ACCOUNTING","2001/09","PDF","https://njtransfer.org/artweb/artup/RV.ACCT211.200109.syl.pdf"
"RV","ACCT221","TAX ACCOUNTING I","2001/09","PDF","https://njtransfer.org/artweb/artup/RV.ACCT221.200109.syl.pdf"
"RV","ACCT222","AUDITING","2001/09","PDF","https://njtransfer.org/artweb/artup/RV.ACCT222.200109.syl.pdf"
"RV","ACCT223","TAX ACCOUNTING II","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/RV.ACCT223.200109.syl.txt"
"RV","ACCT224","GOVERNMENT AND NOT-FOR-PROFIT ACCOUNTING","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/RV.ACCT224.200109.syl.txt"
"RV","ACCT225","ACCOUNTING SYSTEMS AND SOFTWARE","2001/09","MS Word","https://njtransfer.org/artweb/artup/RV.ACCT225.200109.syl.docx"
"RV","ACCT226","VOLUNTEER INCOME TAX ASSISTANCE (VITA)","2023/09","MS Word","https://njtransfer.org/artweb/artup/RV.ACCT226.202309.syl.docx"
"RV","ACCT229","PAYROLL ACCOUNTING","2017/09","MS Word","https://njtransfer.org/artweb/artup/RV.ACCT229.201709.syl.docx"
"RV","ACCT250","ADVANCED BOOKEEPING PRACTICE","2014/09","MS Word","https://njtransfer.org/artweb/artup/RV.ACCT250.201409.syl.docx"
"RV","ACCT290","ACCOUNTING COOP EDUCATION I","2017/09","MS Word","https://njtransfer.org/artweb/artup/RV.ACCT290.201709.syl.docx"
"RV","ACCT291","ACCOUNTING COOP EDUCATION II","2017/09","MS Word","https://njtransfer.org/artweb/artup/RV.ACCT291.201709.syl.docx"
"RV","ANTH101","INTRODUCTION TO CULTURAL ANTHROPOLOGY","2001/09","MS Word","https://njtransfer.org/artweb/artup/RV.ANTH101.200109.syl.docx"
"RV","ANTH101H","INTRODUCTION TO CULTURAL ANTHROPOLOGY-HONORS","2023/09","MS Word","https://njtransfer.org/artweb/artup/RV.ANTH101H.202309.syl.docx"
"RV","ANTH102","HUMAN ORIGINS","2001/09","PDF","https://njtransfer.org/artweb/artup/RV.ANTH102.200109.syl.pdf"
"RV","ANTH110","INTRODUCTION TO NATIVE NORTH AMERICANS","2016/09","PDF","https://njtransfer.org/artweb/artup/RV.ANTH110.201609.syl.pdf"
