"INST.ID","COURSE ID","COURSE TITLE","EFFECTIVE SINCE","FILE TYPE","LINK TO SYLLABUS"
"MI","ACC221","FRAUD EXAMINATION","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/MI.ACC221.200109.syl.txt"
"MI","ACC222","FRAUD DATA ANALYSIS","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/MI.ACC222.200109.syl.txt"
"MI","ACC223","FRAUD AND THE LAW","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/MI.ACC223.200109.syl.txt"
"MI","ACC224","ADVANCED FRAUD EXAMINATION","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/MI.ACC224.200109.syl.txt"
"MI","AGD212","ADVERTISING DESIGN","2006/02","MS Word","https://njtransfer.org/artweb/artup/MI.AGD212.200602.syl.doc"
"MI","AGD213","TYPOGRAPHY","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/MI.AGD213.200109.syl.txt"
"MI","AGD214","PRINT PRODUCTION","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/MI.AGD214.200109.syl.txt"
"MI","AGD219","DIGITAL GRAPHICS","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/MI.AGD219.200109.syl.txt"
"MI","AGD280","PORTFOLIO","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/MI.AGD280.200109.syl.txt"
"MI","ART104","HISTORY OF PHOTOGRAPHY","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/MI.ART104.200109.syl.txt"
"MI","ART115","SURVEY OF NON-WESTERN ART","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/MI.ART115.200109.syl.txt"
"MI","ART120","SURVEY OF AMERICAN ART","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/MI.ART120.200109.syl.txt"
"MI","ART148","ART PORTFOLIO WORKSHOP","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/MI.ART148.200109.syl.txt"
"MI","ART149","ART STUDIO SEMINAR","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/MI.ART149.200109.syl.txt"
