"INST.ID","COURSE ID","COURSE TITLE","EFFECTIVE SINCE","FILE TYPE","LINK TO SYLLABUS"
"OC","ACAD155","STUDENT SUCCESS","2001/09","MS Word","https://njtransfer.org/artweb/artup/OC.ACAD155.200109.syl.doc"
"OC","ACCT121","FUNDAMENTALS OF ACCOUNTING","2001/09","PDF","https://njtransfer.org/artweb/artup/OC.ACCT121.200109.syl.pdf"
"OC","ACCT161","PRINCIPLES OF ACCOUNTING I","2001/09","PDF","https://njtransfer.org/artweb/artup/OC.ACCT161.200109.syl.pdf"
"OC","ACCT162","PRINCIPLES OF ACCOUNTING II","2001/09","PDF","https://njtransfer.org/artweb/artup/OC.ACCT162.200109.syl.pdf"
"OC","ACCT261","INTERMEDIATE ACCOUNTING I","2001/09","PDF","https://njtransfer.org/artweb/artup/OC.ACCT261.200109.syl.pdf"
"OC","ACCT262","INTERMEDIATE ACCOUNTING II","2001/09","PDF","https://njtransfer.org/artweb/artup/OC.ACCT262.200109.syl.pdf"
"OC","ACCT263","COST ACCOUNTING","2001/09","PDF","https://njtransfer.org/artweb/artup/OC.ACCT263.200109.syl.pdf"
"OC","ACCT264","ADVANCED ACCOUNTING","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/OC.ACCT264.200109.syl.txt"
"OC","ACCT265","AUDITING","2001/09","PDF","https://njtransfer.org/artweb/artup/OC.ACCT265.200109.syl.pdf"
"OC","ACCT266","FEDERAL INCOME TAX ACCOUNTING","2001/09","PDF","https://njtransfer.org/artweb/artup/OC.ACCT266.200109.syl.pdf"
"OC","ACCT268","FEDERAL CORPORATE TAXATION","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/OC.ACCT268.200109.syl.txt"
"OC","ACCT271","FORENSIC ACCOUNTING","2019/02","PDF","https://njtransfer.org/artweb/artup/OC.ACCT271.201902.syl.pdf"
"OC","ACCT273","LEGAL ASPECTS OF FINANCIAL FRAUD","2019/02","PDF","https://njtransfer.org/artweb/artup/OC.ACCT273.201902.syl.pdf"
"OC","ACCT275","FRAUD EXAMINATION","2019/02","PDF","https://njtransfer.org/artweb/artup/OC.ACCT275.201902.syl.pdf"
"OC","ACCT277","DIGITAL FORENSIC ANALYSIS","2019/02","PDF","https://njtransfer.org/artweb/artup/OC.ACCT277.201902.syl.pdf"
"OC","ACCT292","ACCOUNT FOR GOVERNMENT AND NONPROFIT ORGANIZATIONS","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/OC.ACCT292.200109.syl.txt"
"OC","ACCT390","ACCOUNTING INFORMATION SYSTEMS","2022/02","PDF","https://njtransfer.org/artweb/artup/OC.ACCT390.202202.syl.pdf"
"OC","AHEC130","EARLY CHILDHOOD NUTRITION, HEALTH AND SAFETY","2001/09","MS Word","https://njtransfer.org/artweb/artup/OC.AHEC130.200109.syl.doc"
"OC","AHMT110","MEDICAL TERMINOLOGY","2001/09","PDF","https://njtransfer.org/artweb/artup/OC.AHMT110.200109.syl.pdf"
"OC","AHMT210","ADVANCED MEDICAL TERMINOLOGY","2001/09","MS Word","https://njtransfer.org/artweb/artup/OC.AHMT210.200109.syl.doc"
"OC","ALDC101","ADDICTIONS DISORDERS AND RECOVERY SUPPORTS","2001/09","PDF","https://njtransfer.org/artweb/artup/OC.ALDC101.200109.syl.pdf"
"OC","ALDC102","ADDICTIONS COUNSEL: PROFESSIONAL RESPONSIBILITIES","2001/09","PDF","https://njtransfer.org/artweb/artup/OC.ALDC102.200109.syl.pdf"
"OC","ALDC103","ADDICTIONS COUNSELING III","2001/09","MS Word","https://njtransfer.org/artweb/artup/OC.ALDC103.200109.syl.doc"
"OC","ALDC104","ADDICTIONS COUNSELING IV","2001/09","MS Word","https://njtransfer.org/artweb/artup/OC.ALDC104.200109.syl.doc"
"OC","ALDC105","ADDICTION COUNSELING SKILLS","2019/02","PDF","https://njtransfer.org/artweb/artup/OC.ALDC105.201902.syl.pdf"
"OC","ALDC106","ASSESSING ADDICTIVE DISORDERS","2019/02","PDF","https://njtransfer.org/artweb/artup/OC.ALDC106.201902.syl.pdf"
"OC","ALDC107","ADDICTION COUNSELING METHODOLOGY","2019/02","PDF","https://njtransfer.org/artweb/artup/OC.ALDC107.201902.syl.pdf"
"OC","ALDC108","ADDICTION COUNSELING CLIENT EDUCATION","2019/02","PDF","https://njtransfer.org/artweb/artup/OC.ALDC108.201902.syl.pdf"
"OC","ALDC200","INTRODUCTION TO PEER ADDICTION RECOVERY","2019/02","PDF","https://njtransfer.org/artweb/artup/OC.ALDC200.201902.syl.pdf"
"OC","ANTH133","INTRODUCTION TO ANTHROPOLOGY","2008/02","PDF","https://njtransfer.org/artweb/artup/OC.ANTH133.200802.syl.pdf"
"OC","ANTH134","CULTURAL ANTHROPOLOGY","2008/02","PDF","https://njtransfer.org/artweb/artup/OC.ANTH134.200802.syl.pdf"
"OC","ANTH135","CULTURAL ANTHROPOLOGY OF AFRICA","2022/02","PDF","https://njtransfer.org/artweb/artup/OC.ANTH135.202202.syl.pdf"
"OC","ANTH233","INTRODUCTION TO ANTHROPOLOGY","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/OC.ANTH233.200109.syl.txt"
"OC","ANTH234","CULTURAL ANTHROPOLOGY","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/OC.ANTH234.200109.syl.txt"
"OC","ANTH235","URBAN ANTHROPOLOGY","2001/09","MS Word","https://njtransfer.org/artweb/artup/OC.ANTH235.200109.syl.doc"
"OC","ANTH237","INDIANS OF NORTH AMERICA","2001/09","MS Word","https://njtransfer.org/artweb/artup/OC.ANTH237.200109.syl.doc"
"OC","ANTH238","NATIVE AMERICAN TRAVEL SEMINAR","2001/09","MS Word","https://njtransfer.org/artweb/artup/OC.ANTH238.200109.syl.doc"
